Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,Namount
1/12/21,1/12/21,1/12/21,SCHD,Cash Div: R/D 2021-01-12 P/D 2021-01-12 - 26.275688 shares at 0.462,CDIV,,,$12.14,$0.00
1/15/21,1/15/21,1/15/21,,ACH Deposit,ACH,,,$941.00,$0.00
1/15/21,1/15/21,1/17/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.152523,$365.18,($420.88),$420.88
1/18/21,1/18/21,1/20/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.453748,$365.14,($530.82),$530.82
1/27/21,1/27/21,1/27/21,SCHD,Cash Div: R/D 2021-01-27 P/D 2021-01-27 - 26.275688 shares at 0.462,CDIV,,,$12.14,$0.00
1/28/21,1/28/21,1/28/21,,Interest Payment,INT,,,$0.01,$0.00
2/1/21,2/1/21,2/1/21,,ACH Deposit,ACH,,,"$1,048.00",$0.00
2/1/21,2/1/21,2/3/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.774178,$327.72,($581.43),$581.43
2/2/21,2/2/21,2/4/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.353077,$365.20,($494.14),$494.14
2/12/21,2/12/21,2/12/21,VOO,Cash Div: R/D 2021-02-12 P/D 2021-02-12 - 17.459209 shares at 0.9897,CDIV,,,$17.28,$0.00
2/15/21,2/15/21,2/15/21,,ACH Deposit,ACH,,,$657.00,$0.00
2/15/21,2/15/21,2/17/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.672908,$328.84,($221.28),$221.28
2/16/21,2/16/21,2/18/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.106613,$365.89,($404.90),$404.90
2/28/21,2/28/21,2/28/21,,Interest Payment,INT,,,$0.01,$0.00
3/1/21,3/1/21,3/1/21,,ACH Deposit,ACH,,,"$1,390.00",$0.00
3/1/21,3/1/21,3/3/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,3.637307,$367.33,"($1,336.09)","$1,336.09"
3/2/21,3/2/21,3/4/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.285952,$367.47,($105.08),$105.08
3/12/21,3/12/21,3/12/21,SCHD,Cash Div: R/D 2021-03-12 P/D 2021-03-12 - 26.275688 shares at 0.462,CDIV,,,$12.14,$0.00
3/15/21,3/15/21,3/15/21,,ACH Deposit,ACH,,,$968.00,$0.00
3/15/21,3/15/21,3/17/21,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,15.144643,$62.78,($950.78),$950.78
3/28/21,3/28/21,3/28/21,,Interest Payment,INT,,,$0.01,$0.00
4/1/21,4/1/21,4/1/21,,ACH Deposit,ACH,,,"$1,050.00",$0.00
4/1/21,4/1/21,4/3/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,2.852395,$338.66,($965.99),$965.99
4/2/21,4/2/21,4/4/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.319696,$375.05,($119.90),$119.90
4/15/21,4/15/21,4/15/21,,ACH Deposit,ACH,,,"$1,469.00",$0.00
4/15/21,4/15/21,4/17/21,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,8.47295,$64.48,($546.34),$546.34
4/16/21,4/16/21,4/18/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.595007,$380.41,($606.76),$606.76
4/19/21,4/19/21,4/21/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.891642,$345.73,($308.27),$308.27
4/28/21,4/28/21,4/28/21,,Interest Payment,INT,,,$0.01,$0.00
5/1/21,5/1/21,5/1/21,,ACH Deposit,ACH,,,$659.00,$0.00
5/3/21,5/3/21,5/5/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.702887,$352.34,($600.00),$600.00
5/12/21,5/12/21,5/12/21,SCHD,Cash Div: R/D 2021-05-12 P/D 2021-05-12 - 49.893281 shares at 0.462,CDIV,,,$23.05,$0.00
5/15/21,5/15/21,5/15/21,,ACH Deposit,ACH,,,$521.00,$0.00
5/17/21,5/17/21,5/19/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.643455,$359.72,($591.18),$591.18
5/28/21,5/28/21,5/28/21,,Interest Payment,INT,,,$0.01,$0.00
6/1/21,6/1/21,6/1/21,,ACH Deposit,ACH,,,$929.00,$0.00
6/1/21,6/1/21,6/3/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,2.339959,$404.37,($946.21),$946.21
6/12/21,6/12/21,6/12/21,VOO,Cash Div: R/D 2021-06-12 P/D 2021-06-12 - 26.743743 shares at 0.9901,CDIV,,,$26.48,$0.00
6/15/21,6/15/21,6/15/21,,ACH Deposit,ACH,,,"$1,424.00",$0.00
6/15/21,6/15/21,6/17/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,2.097512,$412.50,($865.22),$865.22
6/16/21,6/16/21,6/18/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.354763,$413.07,($559.61),$559.61
6/28/21,6/28/21,6/28/21,,Interest Payment,INT,,,$0.01,$0.00
7/1/21,7/1/21,7/1/21,,ACH Deposit,ACH,,,$871.00,$0.00
7/1/21,7/1/21,7/3/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,2.237999,$385.09,($861.83),$861.83
7/15/21,7/15/21,7/15/21,,ACH Deposit,ACH,,,"$1,297.00",$0.00
7/15/21,7/15/21,7/17/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.352367,$392.30,($138.23),$138.23
7/16/21,7/16/21,7/18/21,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,15.175987,$72.82,"($1,105.12)","$1,105.12"
7/28/21,7/28/21,7/28/21,,Interest Payment,INT,,,$0.01,$0.00
8/1/21,8/1/21,8/1/21,,ACH Deposit,ACH,,,"$1,249.00",$0.00
8/2/21,8/2/21,8/4/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,3.073958,$400.30,"($1,230.51)","$1,230.51"
8/3/21,8/3/21,8/5/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.244649,$436.80,($106.86),$106.86
8/15/21,8/15/21,8/15/21,,ACH Deposit,ACH,,,"$1,019.00",$0.00
8/16/21,8/16/21,8/18/21,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,13.461737,$74.86,"($1,007.75)","$1,007.75"
8/28/21,8/28/21,8/28/21,,Interest Payment,INT,,,$0.01,$0.00
9/1/21,9/1/21,9/1/21,,ACH Deposit,ACH,,,$743.00,$0.00
9/1/21,9/1/21,9/3/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.692801,$444.97,($753.25),$753.25
9/12/21,9/12/21,9/12/21,SCHD,Cash Div: R/D 2021-09-12 P/D 2021-09-12 - 78.531005 shares at 0.462,CDIV,,,$36.28,$0.00
9/12/21,9/12/21,9/12/21,VOO,Cash Div: R/D 2021-09-12 P/D 2021-09-12 - 32.133468 shares at 0.9899,CDIV,,,$31.81,$0.00
9/15/21,9/15/21,9/15/21,,ACH Deposit,ACH,,,"$1,458.00",$0.00
9/15/21,9/15/21,9/17/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,3.059987,$447.01,"($1,367.84)","$1,367.84"
9/16/21,9/16/21,9/18/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.361528,$447.11,($161.64),$161.64
9/27/21,9/27/21,9/27/21,SCHD,Cash Div: R/D 2021-09-27 P/D 2021-09-27 - 78.531005 shares at 0.462,CDIV,,,$36.28,$0.00
9/28/21,9/28/21,9/28/21,,Interest Payment,INT,,,$0.01,$0.00
10/1/21,10/1/21,10/1/21,,ACH Deposit,ACH,,,"$1,277.00",$0.00
10/1/21,10/1/21,10/3/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.350307,$448.06,($156.96),$156.96
10/4/21,10/4/21,10/6/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,2.481198,$414.15,"($1,027.59)","$1,027.59"
10/5/21,10/5/21,10/7/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.25029,$448.15,($112.17),$112.17
10/12/21,10/12/21,10/12/21,VOO,Cash Div: R/D 2021-10-12 P/D 2021-10-12 - 36.155580 shares at 0.9899,CDIV,,,$35.79,$0.00
10/15/21,10/15/21,10/15/21,,ACH Deposit,ACH,,,$832.00,$0.00
10/15/21,10/15/21,10/17/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.840522,$448.16,($376.69),$376.69
10/18/21,10/18/21,10/20/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.158464,$414.84,($480.58),$480.58
10/27/21,10/27/21,10/27/21,VOO,Cash Div: R/D 2021-10-27 P/D 2021-10-27 - 36.996102 shares at 0.9901,CDIV,,,$36.63,$0.00
10/28/21,10/28/21,10/28/21,,Interest Payment,INT,,,$0.01,$0.00
11/1/21,11/1/21,11/1/21,,ACH Deposit,ACH,,,"$1,452.00",$0.00
11/1/21,11/1/21,11/3/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,3.415829,$415.24,"($1,418.39)","$1,418.39"
11/15/21,11/15/21,11/15/21,,ACH Deposit,ACH,,,$690.00,$0.00
11/15/21,11/15/21,11/17/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.5923,$447.59,($712.70),$712.70
11/28/21,11/28/21,11/28/21,,Interest Payment,INT,,,$0.01,$0.00
12/1/21,12/1/21,12/1/21,,ACH Deposit,ACH,,,$953.00,$0.00
12/1/21,12/1/21,12/3/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.024297,$447.99,($458.87),$458.87
12/2/21,12/2/21,12/4/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.137524,$448.05,($509.67),$509.67
12/15/21,12/15/21,12/15/21,,ACH Deposit,ACH,,,"$1,157.00",$0.00
12/15/21,12/15/21,12/17/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,2.446407,$449.32,"($1,099.22)","$1,099.22"
12/16/21,12/16/21,12/18/21,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.235365,$449.46,($105.79),$105.79
12/28/21,12/28/21,12/28/21,,Interest Payment,INT,,,$0.01,$0.00
1/1/22,1/1/22,1/1/22,,ACH Deposit,ACH,,,"$1,046.00",$0.00
1/3/22,1/3/22,1/5/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,2.030751,$453.14,($920.21),$920.21
1/4/22,1/4/22,1/6/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.281294,$453.42,($127.54),$127.54
1/12/22,1/12/22,1/12/22,SCHD,Cash Div: R/D 2022-01-12 P/D 2022-01-12 - 78.531005 shares at 0.462,CDIV,,,$36.28,$0.00
1/15/22,1/15/22,1/15/22,,ACH Deposit,ACH,,,"$1,020.00",$0.00
1/17/22,1/17/22,1/19/22,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.392976,$428.33,($168.32),$168.32
1/18/22,1/18/22,1/20/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.699203,$458.05,($778.32),$778.32
1/19/22,1/19/22,1/21/22,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,1.348782,$77.80,($104.94),$104.94
1/28/22,1/28/22,1/28/22,,Interest Payment,INT,,,$0.01,$0.00
2/1/22,2/1/22,2/1/22,,ACH Deposit,ACH,,,$686.00,$0.00
2/1/22,2/1/22,2/3/22,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.597829,$435.20,($695.38),$695.38
2/15/22,2/15/22,2/15/22,,ACH Deposit,ACH,,,"$1,271.00",$0.00
2/15/22,2/15/22,2/17/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,2.343231,$471.69,"($1,105.28)","$1,105.28"
2/16/22,2/16/22,2/18/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.313497,$472.27,($148.06),$148.06
2/27/22,2/27/22,2/27/22,VOO,Cash Div: R/D 2022-02-27 P/D 2022-02-27 - 50.099971 shares at 0.99,CDIV,,,$49.60,$0.00
2/28/22,2/28/22,2/28/22,,Interest Payment,INT,,,$0.01,$0.00
3/1/22,3/1/22,3/1/22,,ACH Deposit,ACH,,,"$1,389.00",$0.00
3/1/22,3/1/22,3/3/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.44546,$480.36,($213.98),$213.98
3/2/22,3/2/22,3/4/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,2.036282,$481.02,($979.49),$979.49
3/3/22,3/3/22,3/5/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.550447,$481.68,($265.14),$265.14
3/15/22,3/15/22,3/15/22,,ACH Deposit,ACH,,,"$1,248.00",$0.00
3/15/22,3/15/22,3/17/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,2.367933,$489.87,"($1,159.98)","$1,159.98"
3/28/22,3/28/22,3/28/22,,Interest Payment,INT,,,$0.01,$0.00
4/1/22,4/1/22,4/1/22,,ACH Deposit,ACH,,,"$1,355.00",$0.00
4/1/22,4/1/22,4/3/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.652602,$501.92,($327.55),$327.55
4/4/22,4/4/22,4/6/22,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,6.736792,$85.54,($576.27),$576.27
4/5/22,4/5/22,4/7/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.919458,$504.76,($464.11),$464.11
4/15/22,4/15/22,4/15/22,,ACH Deposit,ACH,,,$895.00,$0.00
4/15/22,4/15/22,4/17/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.787053,$511.75,($914.52),$914.52
4/28/22,4/28/22,4/28/22,,Interest Payment,INT,,,$0.01,$0.00
5/1/22,5/1/22,5/1/22,,ACH Deposit,ACH,,,"$1,357.00",$0.00
5/2/22,5/2/22,5/4/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.717831,$522.86,($898.19),$898.19
5/3/22,5/3/22,5/5/22,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,5.493735,$88.83,($488.01),$488.01
5/15/22,5/15/22,5/15/22,,ACH Deposit,ACH,,,$518.00,$0.00
5/16/22,5/16/22,5/18/22,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,5.997527,$90.09,($540.32),$540.32
5/28/22,5/28/22,5/28/22,,Interest Payment,INT,,,$0.01,$0.00
6/1/22,6/1/22,6/1/22,,ACH Deposit,ACH,,,$558.00,$0.00
6/1/22,6/1/22,6/3/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.95274,$538.39,($512.95),$512.95
6/12/22,6/12/22,6/12/22,SCHD,Cash Div: R/D 2022-06-12 P/D 2022-06-12 - 98.107841 shares at 0.462,CDIV,,,$45.33,$0.00
6/15/22,6/15/22,6/15/22,,ACH Deposit,ACH,,,$977.00,$0.00
6/15/22,6/15/22,6/17/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.921036,$543.32,"($1,043.74)","$1,043.74"
6/27/22,6/27/22,6/27/22,VOO,Cash Div: R/D 2022-06-27 P/D 2022-06-27 - 63.450813 shares at 0.9901,CDIV,,,$62.82,$0.00
6/28/22,6/28/22,6/28/22,,Interest Payment,INT,,,$0.01,$0.00
7/1/22,7/1/22,7/1/22,,ACH Deposit,ACH,,,"$1,410.00",$0.00
7/1/22,7/1/22,7/3/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,2.719001,$547.05,"($1,487.43)","$1,487.43"
7/15/22,7/15/22,7/15/22,,ACH Deposit,ACH,,,"$1,047.00",$0.00
7/15/22,7/15/22,7/17/22,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.995519,$524.76,"($1,047.17)","$1,047.17"
7/28/22,7/28/22,7/28/22,,Interest Payment,INT,,,$0.01,$0.00
8/1/22,8/1/22,8/1/22,,ACH Deposit,ACH,,,"$1,372.00",$0.00
8/1/22,8/1/22,8/3/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.404241,$549.45,($771.56),$771.56
8/2/22,8/2/22,8/4/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.065778,$549.45,($585.59),$585.59
8/12/22,8/12/22,8/12/22,VOO,Cash Div: R/D 2022-08-12 P/D 2022-08-12 - 68.639833 shares at 0.9899,CDIV,,,$67.95,$0.00
8/15/22,8/15/22,8/15/22,,ACH Deposit,ACH,,,"$1,359.00",$0.00
8/15/22,8/15/22,8/17/22,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.1522,$527.12,($607.35),$607.35
8/16/22,8/16/22,8/18/22,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.400138,$527.15,($738.08),$738.08
8/17/22,8/17/22,8/19/22,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,1.178602,$93.19,($109.83),$109.83
8/28/22,8/28/22,8/28/22,,Interest Payment,INT,,,$0.01,$0.00
9/1/22,9/1/22,9/1/22,,ACH Deposit,ACH,,,$836.00,$0.00
9/1/22,9/1/22,9/3/22,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.38775,$527.75,($732.39),$732.39
9/2/22,9/2/22,9/4/22,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.174994,$527.80,($92.36),$92.36
9/15/22,9/15/22,9/15/22,,ACH Deposit,ACH,,,"$1,450.00",$0.00
9/15/22,9/15/22,9/17/22,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,14.613348,$93.13,"($1,360.94)","$1,360.94"
9/16/22,9/16/22,9/18/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.173472,$548.86,($95.21),$95.21
9/27/22,9/27/22,9/27/22,VOO,Cash Div: R/D 2022-09-27 P/D 2022-09-27 - 68.813305 shares at 0.9901,CDIV,,,$68.13,$0.00
9/28/22,9/28/22,9/28/22,,Interest Payment,INT,,,$0.01,$0.00
10/1/22,10/1/22,10/1/22,,ACH Deposit,ACH,,,"$1,216.00",$0.00
10/3/22,10/3/22,10/5/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.513313,$550.33,($282.49),$282.49
10/4/22,10/4/22,10/6/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.82292,$550.47,($452.99),$452.99
10/5/22,10/5/22,10/7/22,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,5.248832,$93.44,($490.45),$490.45
10/15/22,10/15/22,10/15/22,,ACH Deposit,ACH,,,"$1,020.00",$0.00
10/17/22,10/17/22,10/19/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.792853,$553.09,($991.61),$991.61
10/28/22,10/28/22,10/28/22,,Interest Payment,INT,,,$0.01,$0.00
11/1/22,11/1/22,11/1/22,,ACH Deposit,ACH,,,"$1,301.00",$0.00
11/1/22,11/1/22,11/3/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.967168,$557.94,"($1,097.56)","$1,097.56"
11/2/22,11/2/22,11/4/22,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,2.729836,$94.75,($258.65),$258.65
11/15/22,11/15/22,11/15/22,,ACH Deposit,ACH,,,$588.00,$0.00
11/15/22,11/15/22,11/17/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.985522,$564.37,($556.20),$556.20
11/28/22,11/28/22,11/28/22,,Interest Payment,INT,,,$0.01,$0.00
12/1/22,12/1/22,12/1/22,,ACH Deposit,ACH,,,"$1,197.00",$0.00
12/1/22,12/1/22,12/3/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.418383,$573.91,($240.11),$240.11
12/2/22,12/2/22,12/4/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.571088,$574.57,($902.70),$902.70
12/5/22,12/5/22,12/7/22,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,1.279559,$97.85,($125.20),$125.20
12/15/22,12/15/22,12/15/22,,ACH Deposit,ACH,,,"$1,470.00",$0.00
12/15/22,12/15/22,12/17/22,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,2.471833,$568.70,"($1,405.73)","$1,405.73"
12/27/22,12/27/22,12/27/22,VOO,Cash Div: R/D 2022-12-27 P/D 2022-12-27 - 76.884552 shares at 0.9901,CDIV,,,$76.12,$0.00
12/28/22,12/28/22,12/30/22,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.211251,$594.36,($125.56),$125.56
12/28/22,12/28/22,12/28/22,,Interest Payment,INT,,,$0.02,$0.00
1/1/23,1/1/23,1/1/23,,ACH Deposit,ACH,,,"$1,154.00",$0.00
1/2/23,1/2/23,1/4/23,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.726219,$598.57,"($1,033.26)","$1,033.26"
1/3/23,1/3/23,1/5/23,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.209677,$599.42,($125.68),$125.68
1/12/23,1/12/23,1/12/23,VOO,Cash Div: R/D 2023-01-12 P/D 2023-01-12 - 79.031699 shares at 0.99,CDIV,,,$78.24,$0.00
1/15/23,1/15/23,1/15/23,,ACH Deposit,ACH,,,"$1,197.00",$0.00
1/16/23,1/16/23,1/18/23,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,2.065874,$597.03,"($1,233.39)","$1,233.39"
1/27/23,1/27/23,1/27/23,VOO,Cash Div: R/D 2023-01-27 P/D 2023-01-27 - 79.031699 shares at 0.99,CDIV,,,$78.24,$0.00
1/28/23,1/28/23,1/28/23,,Interest Payment,INT,,,$0.02,$0.00
1/30/23,1/30/23,2/1/23,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.179562,$622.85,($111.84),$111.84
2/1/23,2/1/23,2/1/23,,ACH Deposit,ACH,,,"$1,137.00",$0.00
2/1/23,2/1/23,2/3/23,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.85895,$624.56,($536.47),$536.47
2/2/23,2/2/23,2/4/23,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.892432,$625.41,($558.14),$558.14
2/15/23,2/15/23,2/15/23,,ACH Deposit,ACH,,,"$1,194.00",$0.00
2/15/23,2/15/23,2/17/23,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,6.435874,$107.95,($694.75),$694.75
