Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,Namount
9/3/20,9/3/20,9/5/20,AMZN,Amazon\nCUSIP: 023135106,Sell,0.530761,$100.54,$53.36,$53.36
9/4/20,9/4/20,9/6/20,NVDA,NVIDIA\nCUSIP: 67066G104,Sell,0.620141,$135.29,$83.90,$83.90
9/7/20,9/7/20,9/9/20,AAPL,Apple\nCUSIP: 037833100,Buy,2.116582,$122.66,($259.62),$259.62
9/7/20,9/7/20,9/9/20,NVDA,NVIDIA\nCUSIP: 67066G104,Sell,0.223266,$139.77,$31.21,$31.21
9/8/20,9/8/20,9/10/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,2.074904,$88.63,($183.90),$183.90
9/8/20,9/8/20,9/10/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,1.014472,$88.19,$89.47,$89.47
9/9/20,9/9/20,9/11/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,1.242181,$161.83,($201.02),$201.02
9/9/20,9/9/20,9/11/20,AMZN,Amazon\nCUSIP: 023135106,Sell,0.337545,$98.67,$33.31,$33.31
9/10/20,9/10/20,9/12/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,0.711698,$192.34,($136.89),$136.89
9/11/20,9/11/20,9/13/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Sell,0.102269,$316.75,$32.39,$32.39
9/12/20,9/12/20,9/12/20,NVDA,Cash Div: R/D 2020-09-12 P/D 2020-09-12 - 0.617601 shares at 0.0324,CDIV,,,$0.02,$0.00
9/14/20,9/14/20,9/16/20,AAPL,Apple\nCUSIP: 037833100,Buy,0.916608,$123.75,($113.43),$113.43
9/14/20,9/14/20,9/16/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Sell,0.04984,$309.20,$15.41,$15.41
9/15/20,9/15/20,9/15/20,,ACH Deposit,ACH,,,$406.00,$0.00
9/15/20,9/15/20,9/17/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,1.149869,$140.84,($161.95),$161.95
9/15/20,9/15/20,9/17/20,AMZN,Amazon\nCUSIP: 023135106,Sell,0.175258,$100.02,$17.53,$17.53
9/16/20,9/16/20,9/18/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,0.706315,$193.63,($136.76),$136.76
9/17/20,9/17/20,9/19/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,0.375738,$163.52,($61.44),$61.44
9/17/20,9/17/20,9/19/20,META,Meta Platforms\nCUSIP: 30303M102,Sell,0.440874,$162.78,$71.77,$71.77
9/18/20,9/18/20,9/20/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,0.709197,$90.10,$63.90,$63.90
9/21/20,9/21/20,9/23/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.252272,$308.22,($77.76),$77.76
9/22/20,9/22/20,9/24/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,0.815756,$90.22,($73.60),$73.60
9/23/20,9/23/20,9/25/20,AAPL,Apple\nCUSIP: 037833100,Buy,0.578452,$125.06,($72.34),$72.34
9/23/20,9/23/20,9/25/20,AMZN,Amazon\nCUSIP: 023135106,Sell,0.058758,$104.11,$6.12,$6.12
9/24/20,9/24/20,9/26/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,0.387029,$142.09,($54.99),$54.99
9/25/20,9/25/20,9/27/20,META,Meta Platforms\nCUSIP: 30303M102,Sell,1.047961,$165.41,$173.34,$173.34
9/28/20,9/28/20,9/30/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,0.339695,$142.60,($48.44),$48.44
9/28/20,9/28/20,9/28/20,,Interest Payment,INT,,,$0.05,$0.00
9/28/20,9/28/20,9/30/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Sell,0.095487,$325.61,$31.09,$31.09
9/29/20,9/29/20,10/1/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,0.394775,$196.17,($77.44),$77.44
9/30/20,9/30/20,10/2/20,AAPL,Apple\nCUSIP: 037833100,Buy,0.257076,$126.01,($32.39),$32.39
9/30/20,9/30/20,10/2/20,TSLA,Tesla\nCUSIP: 88160R101,Sell,0.771204,$192.82,$148.70,$148.70
10/1/20,10/1/20,10/1/20,,ACH Deposit,ACH,,,$970.00,$0.00
10/1/20,10/1/20,10/3/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,1.523666,$166.21,($253.25),$253.25
10/5/20,10/5/20,10/7/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.070746,$313.32,($335.49),$335.49
10/5/20,10/5/20,10/7/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Sell,0.61747,$309.59,$191.16,$191.16
10/6/20,10/6/20,10/8/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,1.459992,$167.07,($243.92),$243.92
10/7/20,10/7/20,10/9/20,AMZN,Amazon\nCUSIP: 023135106,Buy,1.701138,$102.86,($174.98),$174.98
10/8/20,10/8/20,10/10/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,0.536565,$167.40,($89.82),$89.82
10/9/20,10/9/20,10/11/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,0.380633,$90.88,$34.59,$34.59
10/12/20,10/12/20,10/14/20,AMZN,Amazon\nCUSIP: 023135106,Buy,0.67981,$103.38,($70.28),$70.28
10/12/20,10/12/20,10/14/20,AAPL,Apple\nCUSIP: 037833100,Sell,5.50524,$123.42,$679.46,$679.46
10/13/20,10/13/20,10/15/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,1.975743,$168.19,($332.30),$332.30
10/14/20,10/14/20,10/16/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.546981,$316.18,($172.94),$172.94
10/15/20,10/15/20,10/15/20,,ACH Deposit,ACH,,,$613.00,$0.00
10/15/20,10/15/20,10/17/20,AAPL,Apple\nCUSIP: 037833100,Buy,1.484163,$127.76,($189.62),$189.62
10/15/20,10/15/20,10/17/20,META,Meta Platforms\nCUSIP: 30303M102,Sell,1.76389,$161.94,$285.64,$285.64
10/16/20,10/16/20,10/18/20,AAPL,Apple\nCUSIP: 037833100,Sell,2.766417,$132.26,$365.89,$365.89
10/19/20,10/19/20,10/21/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,2.044396,$199.24,($407.33),$407.33
10/19/20,10/19/20,10/21/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,0.388361,$92.63,$35.97,$35.97
10/20/20,10/20/20,10/22/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,2.570695,$92.78,($238.51),$238.51
10/20/20,10/20/20,10/22/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Sell,0.799154,$318.00,$254.13,$254.13
10/21/20,10/21/20,10/23/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,2.519375,$92.85,($233.92),$233.92
10/22/20,10/22/20,10/24/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,1.660161,$199.61,($331.38),$331.38
10/22/20,10/22/20,10/24/20,AAPL,Apple\nCUSIP: 037833100,Sell,0.557996,$133.01,$74.22,$74.22
10/23/20,10/23/20,10/25/20,AAPL,Apple\nCUSIP: 037833100,Sell,0.848552,$123.70,$104.97,$104.97
10/26/20,10/26/20,10/28/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,0.771752,$169.95,($131.16),$131.16
10/26/20,10/26/20,10/28/20,NVDA,NVIDIA\nCUSIP: 67066G104,Sell,0.637127,$140.69,$89.64,$89.64
10/27/20,10/27/20,10/29/20,AMZN,Amazon\nCUSIP: 023135106,Buy,1.96041,$104.72,($205.29),$205.29
10/27/20,10/27/20,10/27/20,NVDA,Cash Div: R/D 2020-10-27 P/D 2020-10-27 - 1.857067 shares at 0.0323,CDIV,,,$0.06,$0.00
10/27/20,10/27/20,10/29/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,1.271401,$97.69,$124.20,$124.20
10/28/20,10/28/20,10/30/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,1.59348,$145.44,($231.76),$231.76
10/28/20,10/28/20,10/28/20,,Interest Payment,INT,,,$0.10,$0.00
10/28/20,10/28/20,10/30/20,TSLA,Tesla\nCUSIP: 88160R101,Sell,2.728638,$194.17,$529.82,$529.82
10/29/20,10/29/20,10/31/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,1.291943,$93.39,($120.65),$120.65
10/29/20,10/29/20,10/31/20,AAPL,Apple\nCUSIP: 037833100,Sell,0.463301,$127.23,$58.95,$58.95
10/30/20,10/30/20,11/1/20,TSLA,Tesla\nCUSIP: 88160R101,Sell,1.66055,$203.78,$338.39,$338.39
11/1/20,11/1/20,11/1/20,,ACH Deposit,ACH,,,$585.00,$0.00
11/2/20,11/2/20,11/4/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,1.192616,$170.72,($203.60),$203.60
11/2/20,11/2/20,11/4/20,AMZN,Amazon\nCUSIP: 023135106,Sell,1.209212,$102.13,$123.50,$123.50
11/3/20,11/3/20,11/5/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,0.332479,$200.79,($66.76),$66.76
11/4/20,11/4/20,11/6/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,1.483413,$93.73,($139.04),$139.04
11/4/20,11/4/20,11/6/20,META,Meta Platforms\nCUSIP: 30303M102,Sell,4.063673,$173.15,$703.62,$703.62
11/5/20,11/5/20,11/7/20,AAPL,Apple\nCUSIP: 037833100,Buy,4.10199,$129.51,($531.25),$531.25
11/6/20,11/6/20,11/8/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,2.786826,$93.92,$261.74,$261.74
11/9/20,11/9/20,11/11/20,AMZN,Amazon\nCUSIP: 023135106,Buy,2.779543,$105.61,($293.55),$293.55
11/9/20,11/9/20,11/11/20,META,Meta Platforms\nCUSIP: 30303M102,Sell,1.124985,$172.01,$193.51,$193.51
11/10/20,11/10/20,11/12/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.810773,$322.55,($261.51),$261.51
11/10/20,11/10/20,11/12/20,TSLA,Tesla\nCUSIP: 88160R101,Sell,1.084075,$205.47,$222.74,$222.74
11/11/20,11/11/20,11/13/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,1.580762,$201.34,($318.27),$318.27
11/11/20,11/11/20,11/13/20,TSLA,Tesla\nCUSIP: 88160R101,Sell,1.158607,$196.57,$227.75,$227.75
11/12/20,11/12/20,11/14/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.34578,$322.89,($434.54),$434.54
11/15/20,11/15/20,11/15/20,,ACH Deposit,ACH,,,$612.00,$0.00
11/16/20,11/16/20,11/18/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,3.325035,$94.27,($313.45),$313.45
11/17/20,11/17/20,11/19/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,1.346885,$94.30,($127.01),$127.01
11/18/20,11/18/20,11/20/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,1.314319,$146.28,($192.26),$192.26
11/18/20,11/18/20,11/20/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,6.558603,$96.51,$632.97,$632.97
11/19/20,11/19/20,11/21/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,2.76273,$94.37,($260.72),$260.72
11/19/20,11/19/20,11/21/20,NVDA,NVIDIA\nCUSIP: 67066G104,Sell,3.205974,$142.67,$457.40,$457.40
11/23/20,11/23/20,11/25/20,AAPL,Apple\nCUSIP: 037833100,Buy,2.092545,$130.36,($272.78),$272.78
11/24/20,11/24/20,11/26/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,1.75389,$146.36,($256.70),$256.70
11/25/20,11/25/20,11/27/20,AAPL,Apple\nCUSIP: 037833100,Buy,1.81714,$130.42,($236.99),$236.99
11/26/20,11/26/20,11/28/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,2.202633,$172.47,($379.89),$379.89
11/26/20,11/26/20,11/28/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,1.636379,$98.41,$161.04,$161.04
11/28/20,11/28/20,11/28/20,,Interest Payment,INT,,,$0.16,$0.00
11/30/20,11/30/20,12/2/20,AAPL,Apple\nCUSIP: 037833100,Buy,1.077889,$130.55,($140.72),$140.72
11/30/20,11/30/20,12/2/20,AAPL,Apple\nCUSIP: 037833100,Sell,1.968498,$128.23,$252.42,$252.42
12/1/20,12/1/20,12/1/20,,ACH Deposit,ACH,,,$438.00,$0.00
12/1/20,12/1/20,12/3/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,3.521657,$146.37,($515.46),$515.46
12/2/20,12/2/20,12/4/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.150498,$325.35,($374.31),$374.31
12/2/20,12/2/20,12/4/20,TSLA,Tesla\nCUSIP: 88160R101,Sell,0.291724,$200.91,$58.61,$58.61
12/3/20,12/3/20,12/5/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,1.412383,$94.73,($133.80),$133.80
12/3/20,12/3/20,12/5/20,AAPL,Apple\nCUSIP: 037833100,Sell,4.901572,$128.10,$627.89,$627.89
12/4/20,12/4/20,12/6/20,AMZN,Amazon\nCUSIP: 023135106,Sell,1.531249,$107.19,$164.13,$164.13
12/7/20,12/7/20,12/9/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,1.775718,$201.95,($358.61),$358.61
12/7/20,12/7/20,12/9/20,AAPL,Apple\nCUSIP: 037833100,Sell,1.921814,$125.77,$241.71,$241.71
12/8/20,12/8/20,12/10/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,1.271592,$146.31,($186.05),$186.05
12/8/20,12/8/20,12/10/20,AAPL,Apple\nCUSIP: 037833100,Sell,0.226532,$128.18,$29.04,$29.04
12/9/20,12/9/20,12/11/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,1.048258,$201.93,($211.67),$211.67
12/10/20,12/10/20,12/12/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,0.605559,$201.92,($122.27),$122.27
12/10/20,12/10/20,12/12/20,META,Meta Platforms\nCUSIP: 30303M102,Sell,0.815193,$180.87,$147.44,$147.44
12/11/20,12/11/20,12/13/20,TSLA,Tesla\nCUSIP: 88160R101,Sell,1.894794,$200.14,$379.22,$379.22
12/14/20,12/14/20,12/16/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,0.935116,$173.01,($161.78),$161.78
12/14/20,12/14/20,12/16/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Sell,1.387555,$332.61,$461.51,$461.51
12/15/20,12/15/20,12/15/20,,ACH Deposit,ACH,,,$957.00,$0.00
12/15/20,12/15/20,12/17/20,AAPL,Apple\nCUSIP: 037833100,Buy,3.640508,$130.72,($475.89),$475.89
12/16/20,12/16/20,12/18/20,AMZN,Amazon\nCUSIP: 023135106,Buy,5.436045,$106.87,($580.95),$580.95
12/17/20,12/17/20,12/19/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,2.036574,$201.81,($411.00),$411.00
12/21/20,12/21/20,12/23/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.719025,$326.44,($234.72),$234.72
12/21/20,12/21/20,12/23/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,2.186617,$94.36,$206.33,$206.33
12/22/20,12/22/20,12/24/20,AAPL,Apple\nCUSIP: 037833100,Buy,1.290027,$130.72,($168.63),$168.63
12/22/20,12/22/20,12/24/20,AAPL,Apple\nCUSIP: 037833100,Sell,2.353017,$130.13,$306.20,$306.20
12/23/20,12/23/20,12/25/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,1.166712,$201.65,($235.27),$235.27
12/24/20,12/24/20,12/26/20,AAPL,Apple\nCUSIP: 037833100,Buy,0.711115,$130.72,($92.96),$92.96
12/27/20,12/27/20,12/27/20,AAPL,Cash Div: R/D 2020-12-27 P/D 2020-12-27 - 3.726644 shares at 0.1315,CDIV,,,$0.49,$0.00
12/28/20,12/28/20,12/30/20,AMZN,Amazon\nCUSIP: 023135106,Buy,2.793783,$107.01,($298.96),$298.96
12/28/20,12/28/20,12/28/20,,Interest Payment,INT,,,$0.14,$0.00
12/29/20,12/29/20,12/31/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,2.279499,$94.94,($216.42),$216.42
12/30/20,12/30/20,1/1/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.437069,$326.70,($142.79),$142.79
12/31/20,12/31/20,1/2/21,AMZN,Amazon\nCUSIP: 023135106,Buy,1.209112,$107.03,($129.41),$129.41
1/1/21,1/1/21,1/1/21,,ACH Deposit,ACH,,,$990.00,$0.00
1/4/21,1/4/21,1/6/21,AAPL,Apple\nCUSIP: 037833100,Buy,2.170266,$130.66,($283.57),$283.57
1/4/21,1/4/21,1/6/21,NVDA,NVIDIA\nCUSIP: 67066G104,Sell,4.540914,$148.20,$672.96,$672.96
1/5/21,1/5/21,1/7/21,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,3.047844,$145.54,($443.58),$443.58
1/5/21,1/5/21,1/7/21,NVDA,NVIDIA\nCUSIP: 67066G104,Sell,4.312327,$148.88,$642.02,$642.02
1/6/21,1/6/21,1/8/21,TSLA,Tesla\nCUSIP: 88160R101,Buy,1.811864,$201.19,($364.53),$364.53
1/6/21,1/6/21,1/8/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Sell,1.082462,$320.99,$347.46,$347.46
1/7/21,1/7/21,1/9/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.611798,$326.88,($526.86),$526.86
1/11/21,1/11/21,1/13/21,META,Meta Platforms\nCUSIP: 30303M102,Buy,2.292842,$173.15,($397.01),$397.01
1/12/21,1/12/21,1/14/21,AAPL,Apple\nCUSIP: 037833100,Buy,1.698831,$130.60,($221.87),$221.87
1/12/21,1/12/21,1/14/21,AAPL,Apple\nCUSIP: 037833100,Sell,2.060792,$130.30,$268.52,$268.52
1/13/21,1/13/21,1/15/21,AMZN,Amazon\nCUSIP: 023135106,Buy,1.822324,$107.12,($195.21),$195.21
1/13/21,1/13/21,1/15/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Sell,1.913157,$335.42,$641.71,$641.71
1/14/21,1/14/21,1/16/21,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,4.322401,$94.96,($410.46),$410.46
1/15/21,1/15/21,1/15/21,,ACH Deposit,ACH,,,$683.00,$0.00
1/18/21,1/18/21,1/20/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.618328,$327.14,($202.28),$202.28
1/18/21,1/18/21,1/20/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Sell,1.732507,$327.88,$568.05,$568.05
1/19/21,1/19/21,1/21/21,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,1.543976,$94.97,($146.63),$146.63
1/19/21,1/19/21,1/21/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Sell,0.289598,$337.04,$97.61,$97.61
1/20/21,1/20/21,1/22/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.551904,$327.20,($180.58),$180.58
1/20/21,1/20/21,1/22/21,NVDA,NVIDIA\nCUSIP: 67066G104,Sell,1.45673,$146.22,$213.00,$213.00
1/21/21,1/21/21,1/23/21,META,Meta Platforms\nCUSIP: 30303M102,Buy,1.972548,$173.19,($341.63),$341.63
1/21/21,1/21/21,1/23/21,META,Meta Platforms\nCUSIP: 30303M102,Sell,3.072416,$168.99,$519.21,$519.21
1/25/21,1/25/21,1/27/21,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,1.769472,$144.91,($256.41),$256.41
1/25/21,1/25/21,1/27/21,AAPL,Apple\nCUSIP: 037833100,Sell,1.279873,$133.36,$170.68,$170.68
1/26/21,1/26/21,1/28/21,AMZN,Amazon\nCUSIP: 023135106,Buy,4.881225,$107.26,($523.56),$523.56
1/26/21,1/26/21,1/28/21,AAPL,Apple\nCUSIP: 037833100,Sell,1.506294,$132.58,$199.70,$199.70
1/27/21,1/27/21,1/29/21,META,Meta Platforms\nCUSIP: 30303M102,Buy,1.087374,$173.25,($188.39),$188.39
1/28/21,1/28/21,1/30/21,AAPL,Apple\nCUSIP: 037833100,Buy,2.956095,$130.56,($385.95),$385.95
1/28/21,1/28/21,1/28/21,,Interest Payment,INT,,,$0.21,$0.00
1/28/21,1/28/21,1/30/21,META,Meta Platforms\nCUSIP: 30303M102,Sell,3.922211,$175.87,$689.80,$689.80
1/29/21,1/29/21,1/31/21,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,7.363276,$99.50,$732.65,$732.65
2/1/21,2/1/21,2/1/21,,ACH Deposit,ACH,,,$434.00,$0.00
2/1/21,2/1/21,2/3/21,TSLA,Tesla\nCUSIP: 88160R101,Buy,2.558101,$200.47,($512.82),$512.82
2/1/21,2/1/21,2/3/21,AAPL,Apple\nCUSIP: 037833100,Sell,3.594831,$131.44,$472.50,$472.50
2/2/21,2/2/21,2/4/21,META,Meta Platforms\nCUSIP: 30303M102,Buy,2.035291,$173.35,($352.82),$352.82
2/3/21,2/3/21,2/5/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.97569,$327.84,($647.71),$647.71
2/3/21,2/3/21,2/5/21,AAPL,Apple\nCUSIP: 037833100,Sell,0.559619,$129.74,$72.60,$72.60
2/4/21,2/4/21,2/6/21,META,Meta Platforms\nCUSIP: 30303M102,Buy,1.474541,$173.40,($255.69),$255.69
2/5/21,2/5/21,2/7/21,META,Meta Platforms\nCUSIP: 30303M102,Sell,1.504378,$171.88,$258.57,$258.57
2/8/21,2/8/21,2/10/21,META,Meta Platforms\nCUSIP: 30303M102,Buy,1.32861,$173.51,($230.53),$230.53
2/8/21,2/8/21,2/10/21,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,1.873704,$97.64,$182.95,$182.95
2/9/21,2/9/21,2/11/21,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,3.449512,$95.17,($328.29),$328.29
2/9/21,2/9/21,2/11/21,META,Meta Platforms\nCUSIP: 30303M102,Sell,1.626774,$170.75,$277.77,$277.77
2/10/21,2/10/21,2/12/21,AMZN,Amazon\nCUSIP: 023135106,Buy,0.806861,$107.57,($86.79),$86.79
2/10/21,2/10/21,2/12/21,META,Meta Platforms\nCUSIP: 30303M102,Sell,2.033519,$171.50,$348.75,$348.75
2/11/21,2/11/21,2/13/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.317642,$328.45,($104.33),$104.33
2/12/21,2/12/21,2/14/21,AMD,Advanced Micro Devices\nCUSIP: 007903107,Sell,1.563411,$91.95,$143.76,$143.76
2/15/21,2/15/21,2/15/21,,ACH Deposit,ACH,,,$780.00,$0.00
2/15/21,2/15/21,2/17/21,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,2.720989,$144.65,($393.59),$393.59
2/16/21,2/16/21,2/18/21,AAPL,Apple\nCUSIP: 037833100,Buy,2.914423,$130.83,($381.29),$381.29
2/17/21,2/17/21,2/19/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.200035,$329.06,($65.82),$65.82
2/18/21,2/18/21,2/20/21,TSLA,Tesla\nCUSIP: 88160R101,Buy,1.535928,$200.54,($308.02),$308.02
2/22/21,2/22/21,2/24/21,AAPL,Apple\nCUSIP: 037833100,Buy,3.974843,$131.03,($520.82),$520.82
2/22/21,2/22/21,2/24/21,AAPL,Apple\nCUSIP: 037833100,Sell,3.949947,$136.58,$539.48,$539.48
2/23/21,2/23/21,2/25/21,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,4.294711,$95.54,($410.32),$410.32
2/23/21,2/23/21,2/25/21,AAPL,Apple\nCUSIP: 037833100,Sell,1.733187,$129.94,$225.21,$225.21
2/24/21,2/24/21,2/26/21,AMZN,Amazon\nCUSIP: 023135106,Buy,2.400113,$108.09,($259.43),$259.43
2/25/21,2/25/21,2/27/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.400337,$330.12,($132.16),$132.16
2/25/21,2/25/21,2/27/21,NVDA,NVIDIA\nCUSIP: 67066G104,Sell,1.946692,$146.22,$284.65,$284.65
2/28/21,2/28/21,2/28/21,,Interest Payment,INT,,,$0.21,$0.00
3/1/21,3/1/21,3/1/21,,ACH Deposit,ACH,,,"$1,055.00",$0.00
